model,best_params,train_f1,cv_f1_mean,cv_f1_std,overfit_gap,test_accuracy,test_f1_macro,timestamp
log_reg,{'clf__C': 10},0.9565728715728717,0.9565728715728717,0.024878398089862298,0.0,0.96875,0.9650793650793651,2026-05-02T10:01:48.342442
rf,"{'clf__n_estimators': 200, 'clf__min_samples_leaf': 2, 'clf__max_depth': 20}",0.9564405964405964,0.9564405964405964,0.026883643147055363,0.0,1.0,1.0,2026-05-02T10:01:59.873797
svm,"{'clf__kernel': 'linear', 'clf__C': 1}",0.9595358345358346,0.9595358345358346,0.023932674259424542,0.0,0.96875,0.9650793650793651,2026-05-02T10:02:02.815837
